id_hotel,hotel_name,hotel_url,city,rating,lat,lon,description
0,"L'Aurore Berbère, hypercentre de Rouen, au calme",https://www.booking.com/hotel/fr/aurore-berbere-hypercentre-de-rouen-au-calme.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCp4WQvQbAAgHSAiQyMTc3M2VlZC0zMDkyLTQ0MjgtYmZhZi03MDQyZDQ2ZTFjODjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=eeac0393daf90248&srepoch=1738801832&from=searchresults,Rouen,8.5,49.445727123486,1.09714833736,"Situated in Rouen, 600 metres from Gare de Rouen Rive Droite, 3.7 km from Rouen Kindarena Sports Hall and 4.3 km from Voltaire Station, Rouen, L'Aurore Berbère, hypercentre de Rouen, au calme features accommodation with a terrace and free WiFi. The property is located 4.8 km from Hotel de ville de Soteville Station, Rouen, 5.6 km from 14-juillet Tramway Station, Rouen and 7.8 km from Rouen Expo. The property is 500 metres from the city centre and 700 metres from Notre-Dame Cathedral of Rouen.

The 1-bedroom apartment has a living room with a flat-screen TV with streaming services, a fully equipped kitchen with a microwave and a fridge, and 1 bathroom with a hair dryer. Towels and bed linen are available in the apartment. For added privacy, the accommodation features a private entrance.

There is a coffee shop on-site.

Musee des Beaux-Arts de Rouen is 400 metres from the apartment, while Flaubert bridge is 4 km from the property. Beauvais–Tillé Airport is 84 km away."
1,"Ambiance Jungle et Cocon en hyper centre pour 2, 4 ou 6 pers - MyLittleStay",https://www.booking.com/hotel/fr/hyper-centre-rouen-wifi-6-pers-jungle-amp-cocon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCp4WQvQbAAgHSAiQyMTc3M2VlZC0zMDkyLTQ0MjgtYmZhZi03MDQyZDQ2ZTFjODjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=eeac0393daf90248&srepoch=1738801832&from=searchresults,Rouen,8.6,49.4479889,1.1009077,"Ambiance Jungle et Cocon en hyper centre pour 2, 4 ou 6 pers - MyLittleStay provides accommodation within 700 metres of the centre of Rouen, with free WiFi, and a kitchen with a dishwasher, an oven and a microwave. The property features inner courtyard views and is less than 1 km from Gare de Rouen Rive Droite and a 13-minute walk from Notre-Dame Cathedral of Rouen. Rouen Kindarena Sports Hall is 4 km from the apartment and Voltaire Station, Rouen is 4.4 km away.

At the apartment complex, all units include a desk, a flat-screen TV, a private bathroom, bed linen and towels. A toaster, a fridge and stovetop are also featured, as well as a coffee machine and a kettle. At the apartment complex, each unit includes a seating area.

Hotel de ville de Soteville Station, Rouen is 5.2 km from the apartment, while 14-juillet Tramway Station, Rouen is 6 km away. Beauvais–Tillé Airport is 83 km from the property."
2,L'AccrocheCoeur,https://www.booking.com/hotel/fr/l-39-accrochecoeur.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKnhZC9BsACAdICJDE1ZDM0NWE0LTlmY2MtNGQxYi04ZmI2LTYxMzU0NzE5ZDBlM9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=27a30393f59b043c&srepoch=1738801832&from=searchresults,St Malo,9.5,48.64812105122637,-2.026979169311516,"Ideally located in Saint Malo, L'AccrocheCoeur offers a continental breakfast and free WiFi. This 4-star guest house offers full-day security and a concierge service. Guests can enjoy city views.

The units in the guest house are fitted with a coffee machine and an iPad. Guests can have fruits delivered to their room. All units feature a private bathroom, a hair dryer and bed linen.

There is a coffee shop and lounge.

Popular points of interest near the guest house include Bon Secours Beach, Mole Beach and Eventail Beach."
3,Haven of peace near the beaches in Saint-Malo,https://www.booking.com/hotel/fr/haven-of-peace-near-the-beaches-in-saint-malo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKnhZC9BsACAdICJDE1ZDM0NWE0LTlmY2MtNGQxYi04ZmI2LTYxMzU0NzE5ZDBlM9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=27a30393f59b043c&srepoch=1738801832&from=searchresults,St Malo,8.7,48.649394,-2.024174,"Offering free WiFi and city views, Haven of peace near the beaches in Saint-Malo is an accommodation set in Saint Malo, just 500 metres from Bon Secours Beach and 600 metres from Sillon Beach. The property is located 1.1 km from National Fort, 2.5 km from Solidor Tower and 9.3 km from Port-Breton Park. The property is 400 metres from Eventail Beach, and within 400 metres of the city centre.

The apartment features 1 bedroom, a TV, a fully equipped kitchen with a microwave and a fridge, and 1 bathroom with an a bath or shower. Towels and bed linen are featured in the apartment. The accommodation is non-smoking.

Popular points of interest near the apartment include Grand Bé, Palais du Grand Large and Casino Barrière Saint-Malo."
4,ibis Styles Strasbourg Stade de la Meinau,https://www.booking.com/hotel/fr/ibis-strasbourg-la-meinau.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKphZC9BsACAdICJDdkMDNiYzA4LWQzM2QtNDA4Yy04MTlhLTllNDQxYjgyMmRmZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=50ed03946b7304ad&srepoch=1738801834&from_sustainable_property_sr=1&from=searchresults,Strasbourg,7.8,48.5561877,7.7462478999999576,"Set in Strasbourg, the ibis Styles Strasbourg Stade de la Meinau is a 24-hour reception hotel with a fitness centre and a restaurant. Free WiFi is available throughout the hotel.

The air-conditioned rooms at ibis Styles Strasbourg Stade de la Meinau have a private bathroom with a hairdryer and a walk-in shower. A flat-screen TV with Canal+ and BeIn sport channels is provided.

A buffet breakfast is served every morning. The 24-hour bar serves snacks and light meals at an extra cost everyday.

The hotel is situated by the tramway which leads to the train station and a 10-minute drive from the centre of the city. Petite France and the Cathedral of Our Lady of Strasbourg are within 4 km of the hotel. There is a private car park on site, available at a surcharge. The Strasbourg Entzeim airport is 18 km away while Europa Park is 55 km away from the hotel."
5,Romantic Studio Vacances,https://www.booking.com/hotel/fr/romantic-studio-vacances.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKphZC9BsACAdICJGViYzU3ZTYwLWFhOWItNDY1ZC05ZjI3LTM0MzRkMDVkNTA2YdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=168b039428600197&srepoch=1738801834&from=searchresults,Chateau du Haut Koenigsbourg,9.4,48.097300251433985,7.204488515853882,"Featuring free bikes, garden and views of garden, Romantic Studio Vacances is situated in Labaroche, 15 km from House of the Heads. This apartment features free private parking, a 24-hour front desk and free WiFi. Boasting family rooms, this property also provides guests with a picnic area.

The apartment provides guests with a terrace, mountain views, a seating area, satellite flat-screen TV, a fully equipped kitchenette with an oven and a microwave, and a private bathroom with shower and a hair dryer. A toaster, a fridge and stovetop are also available, as well as a coffee machine and a kettle. At the apartment complex, each unit has bed linen and towels.

Barbecue facilities are provided.

Saint-Martin Collegiate Church is 16 km from the apartment, while Colmar Expo is 16 km from the property. EuroAirport Mulhouse Airport is 74 km away."
6,Le Grand Sillon,https://www.booking.com/hotel/fr/le-grand-sillon-3-appartement-40-m2-vue-mer-plage-du-sillon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKnhZC9BsACAdICJDE1ZDM0NWE0LTlmY2MtNGQxYi04ZmI2LTYxMzU0NzE5ZDBlM9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=27a30393f59b043c&srepoch=1738801832&from=searchresults,St Malo,9.0,48.6536328,-2.0107664,"In the Sillon district of Saint Malo, close to Eventail Beach, Le Grand Sillon features a terrace and a washing machine. Featuring free private parking, the 3-star apartment is a few steps from Sillon Beach. Outdoor seating is also available at the apartment.

Providing a balcony with sea views, this apartment also provides guests with a TV, a well-equipped kitchenette with a dishwasher, an oven and a microwave, as well as 1 bathroom with a shower and a hair dryer. This apartment is non-smoking and soundproof.

Popular points of interest near Le Grand Sillon include Bon Secours Beach, Palais du Grand Large and Casino Barrière Saint-Malo."
7,Hôtel de la Cité,https://www.booking.com/hotel/fr/de-la-cite.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKnhZC9BsACAdICJDE1ZDM0NWE0LTlmY2MtNGQxYi04ZmI2LTYxMzU0NzE5ZDBlM9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=27a30393f59b043c&srepoch=1738801832&from=searchresults,St Malo,7.9,48.651301490517994,-2.0251107215881348,"The Hôtel de la Cité is located in the heart of Saint-Malo, just 350 metres from Saint-Malo Marina. It offers free Wi-Fi internet access and rooms with sea views.

The traditional guest rooms all have  safes, and are all served by a lift. Each has a private bathroom equipped with a hairdryer.

The Hôtel de la Cité is in close proximity to many restaurants and popular tourist sites, such as the City of Corsaires. You can also choose to dine at the restaurant in a nearby partner hotel, which offers a panoramic view."
8,Star Champs-Elysées,https://www.booking.com/hotel/fr/star-etoile-paris.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCp4WQvQbAAgHSAiRmZDhmMDE3Ny0wNTJkLTRhY2UtOTY4Ny1lM2ZjMjUwZTVkMDTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=3e430393027b0074&srepoch=1738801833&from=searchresults,Paris,8.5,48.87715091049038,2.293667569756508,"This stylish air-conditioned hotel is located in the West of Paris, 400 metres from the Arc de Triomphe. It offers modern rooms, decorated with warm colours.

The rooms at Star Champs-Elysées are also equipped with satellite TV, a telephone. The private bathrooms feature a hairdryer and either a shower or a bathtub.

A full buffet breakfast is served every morning and can be enjoyed in the guest rooms. You can relax in the hotel’s lounge, which features a medieval décor and period fireplace.

Star Champs Elysées welcomes you 24/7 with multilingual staff. Free Wi-Fi access is available throughout the hotel, and there is a laundry service.

Hotel Star Champs-Elysées is 400 metres from Charles de Gaulle – Étoile Metro and RER Station, which provide direct access to Disneyland, La Defense, The Louvre Museum and the Montmartre district. The famous Avenue des Champs-Elysées is less than 10 minutes away on foot.

The hotel offers 3 types of breakfast every morning :

The full buffet breakfast, served in our breakfast room at 23€ per day and per person.
The breakfast served directly in your room, at 19€ per day and per person (this is the formula proposed for our bed and breakfast rates).
The express breakfast which can be taken away, at 9€ per day and per person."
9,l'Exotique - Vue Place du Vieux Marché,https://www.booking.com/hotel/fr/exotique-vue-pl-vieux-marche-standing.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCp4WQvQbAAgHSAiQyMTc3M2VlZC0zMDkyLTQ0MjgtYmZhZi03MDQyZDQ2ZTFjODjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=eeac0393daf90248&srepoch=1738801832&from=searchresults,Rouen,9.2,49.4425172,1.0888207,"Set in Rouen, l'Exotique - Vue Place du Vieux Marché offers city views and free WiFi, 1.1 km from Gare de Rouen Rive Droite and 2.9 km from Rouen Kindarena Sports Hall. The property is situated 3.5 km from Voltaire Station, Rouen, 4.5 km from Hotel de ville de Soteville Station, Rouen and 5.3 km from 14-juillet Tramway Station, Rouen. The property is 700 metres from the city centre and 500 metres from Notre-Dame Cathedral of Rouen.

This apartment includes 1 bedroom, a living room and a TV, an equipped kitchen with a dining area, and 1 bathroom with an a bath or shower and a washing machine. Towels and bed linen are offered in the apartment. The accommodation is non-smoking.

Rouen Expo is 7 km from the apartment, while Musee des Beaux-Arts de Rouen is 600 metres from the property. Beauvais–Tillé Airport is 85 km away."
